Day,Open,High,Low,Close,Adj Close,Volume
1993,208.5,208.5,207.410004,207.929993,173.16861,3010800
1994,208.570007,209.869995,207.449997,208.940002,174.00972,3610500
1995,208.300003,209.809998,208.210007,209.050003,174.101349,3002700
1996,208.699997,208.869995,206.610001,206.929993,172.335739,5550400
1997,206.25,207.520004,205.389999,207.050003,172.435684,3946200
1998,207.949997,207.949997,205.610001,206.5,171.977676,4320400
1999,208.240005,215.229996,208.119995,214.520004,178.65686,10003000
2000,215.149994,216.869995,213.539993,214.899994,178.973358,6064400
2001,214.100006,218.539993,213.970001,216.75,180.514084,6077200
2002,215.339996,221.710007,214.800003,219.289993,182.629425,8880000
2003,221.229996,222.190002,218.369995,220,183.513626,7393900
2004,221,223.979996,220.479996,222.419998,185.532242,5816300
2005,222.75,223.240005,218.710007,220.720001,184.114243,6724800
2006,221.899994,226.050003,220.100006,225.600006,188.184875,7627000
2007,225.899994,226.610001,224.169998,224.809998,187.525909,4730800
2008,224.050003,225.710007,222.990005,224.279999,187.083801,3597400
2009,224.360001,224.979996,218.479996,218.610001,182.354126,5484500
2010,219.080002,219.910004,215.350006,218.580002,182.329147,6295500
2011,218,221.919998,217.449997,219.490005,183.088181,4859500
2012,220.389999,221.929993,218.550003,221.559998,184.814896,4414600
2013,222.600006,227.339996,221.429993,227.339996,189.636307,5632300
2014,227,229.899994,225.600006,227.220001,189.536179,4637000
2015,225.919998,225.990005,222.960007,224.949997,187.642654,4879700
2016,224.949997,227.679993,223.350006,226.570007,188.993973,5195100
2017,225.5,226.979996,222.949997,223.100006,186.099533,4963100
2018,223.910004,227.550003,223.600006,227.5,189.76976,4956100
2019,228.029999,229,225.350006,226.179993,188.668655,4761900
2020,226.190002,228.330002,224.259995,224.380005,187.167221,5771800
2021,225.589996,227.960007,224.520004,227.110001,189.444458,5161400
2022,226.75,227.929993,225.25,227.380005,189.669708,4185200
2023,228.550003,231.220001,227.949997,230.339996,192.138809,6726900
2024,230.649994,231.690002,228.559998,229.229996,191.212875,7778600
2025,229.789993,231.660004,228.75,230.710007,192.447357,3568400
2026,231.699997,232.410004,228.429993,228.539993,190.637238,4276600
2027,229.369995,230.75,225.050003,225.679993,188.251633,6211000
2028,226.809998,226.949997,224.190002,225.529999,188.12648,4068800
2029,226.25,228.899994,226.029999,228.440002,190.553833,3734700
2030,226.25,232,225.600006,232,193.523453,5393000
2031,232.210007,233.970001,230.089996,230.820007,192.539169,4578100
2032,232.080002,232.889999,229.589996,230.710007,192.447357,4093200
2033,230,230.649994,227.940002,229.710007,191.613281,3411600
2034,229.360001,230.330002,228.25,229.360001,191.321304,3676600
2035,227.770004,227.940002,224.850006,227.350006,189.644623,4411400
2036,226.289993,227.419998,219.339996,220.050003,183.555359,8363600
2037,220.100006,225.070007,218.75,225.059998,187.734467,5903000
2038,225.600006,227.570007,224.130005,227.160004,189.48616,4285600
2039,226.899994,231.119995,225.580002,227.850006,190.061722,7474500
2040,229,233.639999,228,233.639999,194.891449,7359000
2041,227.710007,229.300003,225.009995,225.75,188.309998,14381600
2042,227.330002,228.470001,226,226.190002,188.676987,7430400
2043,226.550003,227.539993,224.800003,226.970001,189.327637,4370200
2044,226.160004,229.570007,225.490005,229.470001,191.413071,4580200
2045,229.75,230.330002,225.720001,225.889999,188.426788,5831400
2046,225.979996,226.899994,222.199997,226.899994,189.269287,8340800
2047,226.5,226.789993,220.270004,222.399994,185.515594,9778800
2048,221.110001,223.169998,215.050003,216.740005,180.794312,11566700
2049,217.699997,219.360001,214.169998,214.169998,178.650497,9711500
2050,214,219.800003,212.559998,219.330002,182.954727,9018600
